Hall,Category,Time,Dish,Calories,Serving Size,AutoCategory,FinalCategory
Huffman,Lunch,(11:30am-2pm),Brown Rice,110,0.5 cup,side,side
Huffman,Lunch,(11:30am-2pm),Tofu Curry,300,8 floz,main,main
Huffman,Lunch,(11:30am-2pm),Broccoli with Garlic,45,0.5 cup,other,other
Huffman,Lunch,(11:30am-2pm),Togarashi,25,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Tuxedo Sesame Seeds,0,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),MTO Furikake Seasoning,0,,other,other
Huffman,Lunch,(11:30am-2pm),Nori Sheets,10,1 serving,other,other
Huffman,Lunch,(11:30am-2pm),Chow Mein Noodles,130,0.5 cup,other,other
Huffman,Lunch,(11:30am-2pm),Fresh Scallions,0,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Pickled Red Onion,25,0.25 cup,other,other
Huffman,Lunch,(11:30am-2pm),Sambal Oelek Chili Sauce,0,1 tsp,other,other
Huffman,Lunch,(11:30am-2pm),Sweet Soy Marinade,50,1 floz,other,other
Huffman,Lunch,(11:30am-2pm),Tamari Soy Sauce,10,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Chili Oil,140,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Rice Vinegar & Soy Sauce Oil,50,1 floz,side,other
Huffman,Lunch,(11:30am-2pm),Oatmeal Raisin Cookie,60,1 each,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Smore's Brownie,560,1 each,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Coconut Sugar Cookie,150,1 each,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Applesauce Cake,180,1 each,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Plain Bagel,230,,other,side
Huffman,Lunch,(11:30am-2pm),Everything Bagel,310,1 each,other,side
Huffman,Lunch,(11:30am-2pm),Cinnamon Raisin Bagel,230,,other,side
Huffman,Lunch,(11:30am-2pm),Whole Wheat Bread,80,,side,side
Huffman,Lunch,(11:30am-2pm),White Bread,150,,side,side
Huffman,Lunch,(11:30am-2pm),English Muffin,110,,dessert,side
Huffman,Lunch,(11:30am-2pm),Made Without Gluten Bread,80,,side,side
Huffman,Lunch,(11:30am-2pm),Made without Gluten Bagel,260,,other,side
Huffman,Lunch,(11:30am-2pm),Cream Cheese,120,1 oz,other,other
Huffman,Lunch,(11:30am-2pm),Sun Butter,100,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Peanut Butter,0,1 each,other,other
Huffman,Lunch,(11:30am-2pm),Grape Jelly,50,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Strawberry Jelly,50,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Butter,100,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Belgian Waffle,160,1 each,other,dessert
Huffman,Lunch,(11:30am-2pm),Maple Syrup,40,1 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Chocolate Chips,100,2 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Mini Marshmallow,20,2 tbsp,other,other
Huffman,Lunch,(11:30am-2pm),Hershey's Chocolate Syrup,180,2 floz,other,other
Huffman,Lunch,(11:30am-2pm),2% Milk,130,8 floz,beverage,beverage
Huffman,Lunch,(11:30am-2pm),Chocolate Milk,0,8 floz,beverage,beverage
Huffman,Lunch,(11:30am-2pm),Chocolate Peamilk,140,1 cup,beverage,beverage
Huffman,Lunch,(11:30am-2pm),Oatmilk,130,1 cup,beverage,beverage
Huffman,Lunch,(11:30am-2pm),Soymilk,0,1 cup,beverage,beverage
Huffman,Lunch,(11:30am-2pm),Rice Chex Cereal,120,1 cup,side,side
Huffman,Lunch,(11:30am-2pm),Fruit Loops Cereal,120,,other,side
Huffman,Lunch,(11:30am-2pm),Raisin Bran Cereal,0,1 cup,other,side
Huffman,Lunch,(11:30am-2pm),Apple Jacks Cereal,170,1 cup,other,side
Huffman,Lunch,(11:30am-2pm),Rice Krispies,100,1 cup,side,side
Huffman,Lunch,(11:30am-2pm),Cocoa Puffs,140,1 cup,other,side
Huffman,Lunch,(11:30am-2pm),Cinnamon Toast Crunch Cereal,170,1 cup,other,side
Huffman,Lunch,(11:30am-2pm),Frosted Flakes,150,,other,side
Huffman,Lunch,(11:30am-2pm),Banana Cream Pie Ice Cream,270,0.5 cup,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Birthday Cake Ice Cream,280,0.5 cup,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Campfire S'mores Ice Cream,340,0.5 cup,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Chocolate Ice Cream,220,0.66 cup,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Coffee Ice Cream,190,1 serving,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Cookies & Cream Ice Cream,260,0.5 cup,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Cotton Candy Ice,180,0.5 cup,other,dessert
Huffman,Lunch,(11:30am-2pm),Mint Chocolate Chip Ice Cream,260,0.5 cup,dessert,dessert
Huffman,Lunch,(11:30am-2pm),Orange Pineapple Ice Cream,240,0.5 cup,dessert,dessert
