Hall,Category,Time,Dish,Calories,Serving Size,Station,FinalStation,Role
Huffman,Lunch,(11:30am-2pm),Dill Pickle Slices,0,1 oz,grill additions,grill,entree
Huffman,Lunch,(11:30am-2pm),Vegan Italian Sausage,160,,plant power,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Bulgar with Mushrooms and Feta,190,1 servings,plant power,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Roasted Green Beans,90,3 oz,plant power,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Roasted Tomatoes,170,0.5 cup,plant power,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Honey Roasted Carrots,120,0.5 cup,plant power,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Roasted Greek Potatoes,140,0.5 cup,plant power,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Chimichurri,90,2 tbsp,plant power,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Herbed Yogurt Sauce,710,,plant power,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Chipotle Ranch,110,2 floz,plant power,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Shrimp Mac and Cheese Bowl,730,1 serving,entree,byo_bowl,protein
Huffman,Lunch,(11:30am-2pm),White Rice,120,0.5 cup,street eats,byo_bowl,base
Huffman,Lunch,(11:30am-2pm),Brown Rice,110,0.5 cup,street eats,byo_bowl,base
Huffman,Lunch,(11:30am-2pm),Tri-Color Quinoa,140,0.5 cup,street eats,byo_bowl,base
Huffman,Lunch,(11:30am-2pm),Pickled Watermelon Radish,30,1 oz,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Pickled Beets,15,1 oz,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Spicy Pickles,10,0.25 cup,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Pickled Cauliflower,15,2 oz,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Kimchi,25,0.5 cup,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Pickled Carrot,15,1 oz,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Pickled Turnips,180,,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Tuxedo Sesame Seeds,0,1 tbsp,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Furikake Seasoning,25,0.25 oz,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Nori Sheets,10,1 serving,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Chow Mein Noodles,130,0.5 cup,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Sambal Oelek Chili Sauce,0,1 tsp,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Tamari Soy Sauce,10,1 tbsp,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Chili Oil,140,1 tbsp,toppings,unknown,unknown
Huffman,Lunch,(11:30am-2pm),Baby Spinach,15,1 cup,produce market,byo_salad,base
Huffman,Lunch,(11:30am-2pm),Field Greens,15,2 oz,produce market,byo_salad,base
Huffman,Lunch,(11:30am-2pm),Baby Arugula,5,1 cup,produce market,byo_salad,unknown
