Hall,Category,Time,Dish,Calories,Serving Size,Station,AutoCategory
Huffman,Lunch,(11:30am-2pm),Fire Roasted Jalapenos,25,1 oz,Grill,other 0.53
Huffman,Lunch,(11:30am-2pm),Crispy French Fries,250,4.5 oz,Grill,side 0.63
Huffman,Lunch,(11:30am-2pm),Crispy Fried Onions,15,0.25 oz,Grill,side 0.64
Huffman,Lunch,(11:30am-2pm),Cheddar Cheese,60,1 slice,Grill,topping 0.73
Huffman,Lunch,(11:30am-2pm),American Cheese,50,1 slice,Grill,topping 0.73
Huffman,Lunch,(11:30am-2pm),Sliced Swiss Cheese,60,1 serving,Grill,topping 0.67
Huffman,Lunch,(11:30am-2pm),Leaf Lettuce,0,1 leaf,Grill,produce 0.66
Huffman,Lunch,(11:30am-2pm),Sliced Tomatoes,10,2 slice,Grill,produce 0.74
Huffman,Lunch,(11:30am-2pm),Dill Pickle Slices,0,1 oz,Grill,produce 0.61
Huffman,Lunch,(11:30am-2pm),Sliced Red Onions,10,0.5 oz,Grill,produce 0.68
Huffman,Lunch,(11:30am-2pm),Italian Wrap,730,1 each,classics,other 0.56
Huffman,Lunch,(11:30am-2pm),Chicken bacon ranch wrap,630,,classics,main-protein 0.59
Huffman,Lunch,(11:30am-2pm),Garden Vegetable Wrap,440,1 each,classics,main-plant 0.51
Huffman,Lunch,(11:30am-2pm),Sweet Potato Fries,340,3.25 oz,classics,side 0.68
Huffman,Lunch,(11:30am-2pm),Ranch Potato Chips,230,1.5 oz,classics,main-carb 0.57
Huffman,Lunch,(11:30am-2pm),Sauteed Lemon Grass Shrimp - FM,110,3 oz,Entree,main-protein 0.53
Huffman,Lunch,(11:30am-2pm),Sweet & Sour Tofu,160,6 oz,Entree,main-plant 0.51
Huffman,Lunch,(11:30am-2pm),Stir-Fry Vegetables,50,0.5 cup,Entree,main-plant 0.55
Huffman,Lunch,(11:30am-2pm),Cabbage Stir Fry,120,0.5 cup,Entree,main-combo 0.55
Huffman,Lunch,(11:30am-2pm),Spicy Cucumber Salad,25,0.5 cup,Entree,side 0.54
Huffman,Lunch,(11:30am-2pm),Nori Sheets,10,1 serving,Entree,other 0.35
Huffman,Lunch,(11:30am-2pm),Lemon Ginger Basmati Rice,170,0.5 cup,Entree,main-carb 0.47
Huffman,Lunch,(11:30am-2pm),Pickled Watermelon Radish,30,1 oz,Entree,produce 0.63
Huffman,Lunch,(11:30am-2pm),Crispy Wonton Straws,20,0.25 oz,Entree,other 0.44
Huffman,Lunch,(11:30am-2pm),Fresh Scallions,0,1 tbsp,Entree,other 0.58
Huffman,Lunch,(11:30am-2pm),Fried Rice Noodles,80,1 serving,Entree,side 0.60
Huffman,Lunch,(11:30am-2pm),White Rice,120,0.5 cup,street eats,main-carb 0.60
Huffman,Lunch,(11:30am-2pm),Brown Rice,110,0.5 cup,street eats,side 0.69
Huffman,Lunch,(11:30am-2pm),Teriyaki Tofu,40,1 cup,street eats,main-plant 0.55
Huffman,Lunch,(11:30am-2pm),Bok Choy & Mushroom Sauté,20,0.5 cup,street eats,main-plant 0.52
Huffman,Lunch,(11:30am-2pm),Togarashi,25,1 tbsp,street eats,other 0.29
Huffman,Lunch,(11:30am-2pm),Tuxedo Sesame Seeds,0,1 tbsp,street eats,other 0.50
Huffman,Lunch,(11:30am-2pm),MTO Furikake Seasoning,25,0.25 oz,street eats,other 0.40
Huffman,Lunch,(11:30am-2pm),Nori Sheets,10,1 serving,street eats,other 0.35
Huffman,Lunch,(11:30am-2pm),Chow Mein Noodles,130,0.5 cup,street eats,main-carb 0.57
Huffman,Lunch,(11:30am-2pm),Fresh Scallions,0,1 tbsp,street eats,other 0.58
Huffman,Lunch,(11:30am-2pm),Pickled Red Onion,25,0.25 cup,street eats,produce 0.60
Huffman,Lunch,(11:30am-2pm),Sambal Oelek Chili Sauce,0,1 tsp,street eats,topping 0.53
Huffman,Lunch,(11:30am-2pm),Sweet Soy Marinade,60,1 floz,street eats,other 0.58
Huffman,Lunch,(11:30am-2pm),Tamari Soy Sauce,10,1 tbsp,street eats,topping 0.46
Huffman,Lunch,(11:30am-2pm),Chili Oil,140,1 tbsp,street eats,topping 0.64
