Hall,Category,Time,Dish,Calories,Serving Size,Station
Huffman,Lunch,(11:30am-2pm),Raisin Bran Cereal,200,1 cup,milks & cereals
Huffman,Lunch,(11:30am-2pm),Apple Jacks Cereal,170,1 cup,milks & cereals
Huffman,Lunch,(11:30am-2pm),Rice Krispies,110,1 cup,milks & cereals
Huffman,Lunch,(11:30am-2pm),Cocoa Puffs,140,1 cup,milks & cereals
Huffman,Lunch,(11:30am-2pm),Cinnamon Toast Crunch Cereal,170,1 cup,milks & cereals
Huffman,Lunch,(11:30am-2pm),Frosted Flakes,150,,milks & cereals
Huffman,Lunch,(11:30am-2pm),Cheerios Cereal,70,1 cup,milks & cereals
Huffman,Lunch,(11:30am-2pm),Rice Krispies,110,1 cup,milks & cereals
Huffman,Lunch,(11:30am-2pm),Coke,0,12 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Starry,0,12 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Diet Coke,0,12 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Diet Pepsi,0,12 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Cherry Pepsi,0,12 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Fanta Orange Soda,0,12 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Mountain Dew,0,12 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Hi-C Fruit Punch,0,12 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Mountain Blast Powerade,0,12 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Tractor Beverage Peach,10,12 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Tractor Beverage Lemonade,170,12 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Tractor Beverage Hibiscus Rose,15,12 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Apple Juice,0,8 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Cranberry Juice,0,8 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Orange Juice,100,8 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Brewed Coffee,0,8 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Brewed Decaf Coffee,0,8 floz,hydration station
Huffman,Lunch,(11:30am-2pm),Hot Tea 12oz,0,,hydration station
Huffman,Lunch,(11:30am-2pm),Dinner Rolls,90,1 each,breads & spreads
Huffman,Lunch,(11:30am-2pm),Whipped Butter,80,1 tbsp,breads & spreads
Huffman,Lunch,(11:30am-2pm),Orange Honey Butter,150,1 serving,breads & spreads
Huffman,Lunch,(11:30am-2pm),Herb Butter,160,1 oz,breads & spreads
